pub_date,headline,snippet,section,source,news_desk,type_of_material,web_url
2017-12-18T20:39:46Z,Luke Bryan Is Latest Challenger to Hold Off Taylor Swift for No. 1,Last week U2 bumped Ms. Swift’s “Reputation” from the top spot after three weeks. And this week Luke Bryan hits No. 1 with “What Makes You Country.”,Arts,The New York Times,Culture,News,https://www.nytimes.com/2017/12/18/arts/music/luke-bryan-taylor-swift-billboard-charts.html
2018-11-06T17:02:50Z,"Celebrities Voting: Demi Lovato, Kerry Washington, Lin-Manuel Miranda and Others Head to the Polls","On Election Day, it’s not just ordinary people waiting in line to fill out their ballots. Big-name people are doing it, too.",U.S.,The New York Times,Express,News,https://www.nytimes.com/2018/11/06/us/politics/celebrities-voting-midterm-elections.html
2017-12-04T18:26:32Z,Taylor Swift’s ‘Reputation’ Spends a Third Week at No. 1,"The singer also released the album to streaming services, which may give it a second wind next week when it faces a challenge from U2’s new record.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2017/12/04/arts/music/taylor-swift-reputation-third-week-billboard-chart.html
2017-11-27T17:08:14Z,"Taylor Swift’s ‘Reputation’ Is No. 1 Again, but Will It Maintain Its Momentum?","After a debut tally of 1.2 million, the singer’s latest album sold the equivalent of 256,000 in its second week.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2017/11/27/arts/music/taylor-swift-reputation-billboard-chart.html
2017-11-13T19:52:05Z,"Taylor Swift’s ‘Reputation’ Sells 925,000 Copies in 3 Days","From Friday through Sunday, Ms. Swift’s latest album had already achieved by far the best opening week of any 2017 release.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2017/11/13/arts/music/taylor-swift-reputation-sales.html
2018-12-13T19:01:38Z,Oprah Winfrey Wants Her Chicken Seasoned: 5 Things in Pop Culture Today,"What you need to know from Thursday’s TV, music and movie news.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2018/12/13/arts/oprah-winfrey-chicken-recipe-taylor-swift.html
2018-10-10T09:00:01Z,Should Celebrities Weigh In on Politics?,Do famous figures have a duty to their fans to serve as an escape from reality? Or do they have the right to speak about their personal beliefs and opinions?,The Learning Network,The New York Times,Learning,News,https://www.nytimes.com/2018/10/10/learning/should-celebrities-weigh-in-on-politics.html
2018-10-10T04:20:11Z,On Politics: Nikki Haley to Resign as Ambassador to the U.N.,"Ms. Haley, one of the few high-profile women in the Trump administration, said she would leave at the end of the year.",U.S.,The New York Times,Politics,News,https://www.nytimes.com/2018/10/10/us/politics/on-politics-nikki-haley-resigns.html
2017-12-25T18:19:58Z,Eminem Beats Taylor Swift for His Eighth No. 1 Album in a Row,"His new LP, “Revival,” saw big numbers in both sales and streaming.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2017/12/25/arts/music/eminem-revival-taylor-swift-billboard-chart.html
2017-11-21T14:22:11Z,Taylor Swift’s ‘Reputation’ Sells 1.2 Million Copies in Its First Week,This is the pop singer’s fourth consecutive album to sell more than one million copies right off the bat.,Arts,The New York Times,Culture,News,https://www.nytimes.com/2017/11/21/arts/music/taylor-swift-reputation-million-sold-billboard-chart.html
2013-12-16T16:07:48Z,"Taylor Swift Donates $100,000 to Nashville Symphony","Ms. Swift’s donation comes as good news after a tough year for the symphony, whose musicians took a 15-percent salary cut in August.",Arts,The New York Times,,News,https://artsbeat.blogs.nytimes.com/2013/12/16/taylor-swift-donates-100000-to-nashville-symphony/
2013-03-28T13:34:50Z,"Losing Her Audio, but Never Her Nerve","At a king-size spectacle at the Prudential Center in Newark, Taylor Swift was unflappable, even in the midst of a mishap, with a voice stronger and sturdier than it’s ever been.",Arts,The New York Times,Weekend,Review,https://www.nytimes.com/2013/03/29/arts/music/in-an-arena-performance-taylor-swifts-nerves-of-steel.html
2013-01-10T17:00:36Z,Look of The Moment | Taylor Swift,A plunging neckline turns a borderline bridal look into a ravishing red carpet statement.,T Magazine,The New York Times,,News,https://tmagazine.blogs.nytimes.com/2013/01/10/look-of-the-moment-taylor-swift/
2013-03-15T21:42:16Z,Taylor Swift Gets Some Mud on Her Boots,"At the age of 23, the singer is experiencing a tumble in popularity that is also affecting her marketability.",Fashion,The New York Times,Styles,News,https://www.nytimes.com/2013/03/17/fashion/for-taylor-swifts-image-erosion-is-a-danger.html
2013-01-24T02:09:54Z,Keds Enlists Taylor Swift to Transmit Girl Power,"Taylor Swift, the 23-year-old country star, will become the new face of Keds shoes in a social campaign aimed at “brave girls” age 13 to 24.",Business,The New York Times,Business,News,https://www.nytimes.com/2013/01/24/business/media/keds-campaign-features-taylor-swift.html
2012-12-12T19:02:58Z,Taylor Swift Is Back on Top of the Charts,"Ms. Swift’s latest album, “Red,” returned to the top of the chart in its seventh week.",Arts,The New York Times,,News,https://artsbeat.blogs.nytimes.com/2012/12/12/taylor-swift-is-back-on-top-of-the-charts/
